payment_id,loan_id,payment_date,emi_due,amount_paid,days_late,payment_status
PMT000223,LN00013,2022-09-27,54054.9,54054.9,7,Late
PMT000224,LN00013,2022-10-27,54054.9,0.0,47,Missed
PMT000225,LN00013,2022-11-26,54054.9,54054.9,24,Late
PMT000226,LN00013,2022-12-26,54054.9,54054.9,11,Late
PMT000227,LN00013,2023-01-25,54054.9,54054.9,13,Late
PMT000228,LN00013,2023-02-24,54054.9,0.0,36,Missed
PMT000229,LN00013,2023-03-26,54054.9,0.0,56,Missed
PMT000230,LN00013,2023-04-25,54054.9,0.0,44,Missed
PMT000231,LN00014,2025-04-17,12673.2,12673.2,8,Late
PMT000232,LN00014,2025-05-17,12673.2,12673.2,0,On-time
PMT000233,LN00014,2025-06-16,12673.2,12673.2,0,On-time
PMT000234,LN00014,2025-07-16,12673.2,12673.2,0,On-time
PMT000235,LN00014,2025-08-15,12673.2,,0,On-time
PMT000236,LN00014,2025-09-14,12673.2,12673.2,0,On-time
PMT000237,LN00014,2025-10-14,12673.2,12673.2,0,On-time
PMT000238,LN00014,2025-11-13,12673.2,12673.2,0,On-time
PMT000239,LN00014,2025-12-13,12673.2,12673.2,0,On-time
PMT000240,LN00014,2026-01-12,12673.2,12673.2,0,On-time
PMT000241,LN00014,2026-02-11,12673.2,12673.2,0,On-time
PMT000242,LN00014,2026-03-13,12673.2,0.0,32,Missed
PMT000243,LN00014,2026-04-12,12673.2,12673.2,0,On-time
PMT000244,LN00014,2026-05-12,12673.2,12673.2,0,On-time
PMT000245,LN00014,2026-06-11,12673.2,12673.2,0,On-time
PMT000246,LN00014,2026-07-11,12673.2,12673.2,0,On-time
PMT000247,LN00015,2025-06-30,3086.11,3086.11,0,On-time
PMT000248,LN00015,2025-07-30,3086.11,3086.11,0,On-time
PMT000249,LN00015,2025-08-29,3086.11,3086.11,0,On-time
PMT000250,LN00015,2025-09-28,3086.11,3086.11,4,Late
PMT000251,LN00015,2025-10-28,3086.11,3086.11,0,On-time
PMT000252,LN00015,2025-11-27,3086.11,3086.11,0,On-time
PMT000253,LN00015,2025-12-27,3086.11,3086.11,7,Late
PMT000254,LN00015,2026-01-26,3086.11,3086.11,0,On-time
PMT000255,LN00015,2026-02-25,3086.11,3086.11,0,On-time
PMT000256,LN00015,2026-03-27,3086.11,0.0,27,Missed
PMT000257,LN00015,2026-04-26,3086.11,3086.11,16,Late
PMT000258,LN00015,2026-05-26,3086.11,3086.11,0,On-time
PMT000259,LN00015,2026-06-25,3086.11,3086.11,0,On-time
PMT000260,LN00016,2022-11-18,56358.85,56358.85,0,On-time
PMT000261,LN00016,2022-12-18,56358.85,56358.85,23,Late
PMT000262,LN00016,2023-01-17,56358.85,56358.85,0,On-time
PMT000263,LN00016,2023-02-16,56358.85,56358.85,0,On-time
PMT000264,LN00016,2023-03-18,56358.85,56358.85,0,On-time
PMT000265,LN00016,2023-04-17,56358.85,56358.85,0,On-time
PMT000266,LN00016,2023-05-17,56358.85,56358.85,0,On-time
PMT000267,LN00016,2023-06-16,56358.85,56358.85,0,On-time
PMT000268,LN00016,2023-07-16,56358.85,56358.85,0,On-time
PMT000269,LN00016,2023-08-15,56358.85,56358.85,0,On-time
PMT000270,LN00016,2023-09-14,56358.85,56358.85,0,On-time
PMT000271,LN00016,2023-10-14,56358.85,56358.85,0,On-time
PMT000272,LN00016,2023-11-13,56358.85,56358.85,14,Late
PMT000273,LN00016,2023-12-13,56358.85,56358.85,0,On-time
PMT000274,LN00016,2024-01-12,56358.85,56358.85,0,On-time
PMT000275,LN00016,2024-02-11,56358.85,56358.85,22,Late
PMT000276,LN00016,2024-03-12,56358.85,56358.85,0,On-time
PMT000277,LN00016,2024-04-11,56358.85,56358.85,9,Late
PMT000278,LN00017,2023-05-30,10642.21,10642.21,0,On-time
PMT000279,LN00017,2023-06-29,10642.21,10642.21,0,On-time
PMT000280,LN00017,2023-07-29,10642.21,10642.21,1,Late
PMT000281,LN00017,2023-08-28,10642.21,10642.21,0,On-time
PMT000282,LN00017,2023-09-27,10642.21,0.0,38,Missed
PMT000283,LN00017,2023-10-27,10642.21,10642.21,0,On-time
PMT000284,LN00017,2023-11-26,10642.21,10642.21,0,On-time
PMT000285,LN00017,2023-12-26,10642.21,10642.21,0,On-time
PMT000286,LN00017,2024-01-25,10642.21,10642.21,0,On-time
PMT000287,LN00017,2024-02-24,10642.21,10642.21,14,Late
PMT000288,LN00017,2024-03-25,10642.21,10642.21,0,On-time
PMT000289,LN00017,2024-04-24,10642.21,10642.21,0,On-time
PMT000290,LN00017,2024-05-24,10642.21,10642.21,23,Late
PMT000291,LN00017,2024-06-23,10642.21,10642.21,2,Late
PMT000292,LN00017,2024-07-23,10642.21,10642.21,0,On-time
PMT000293,LN00017,2024-08-22,10642.21,10642.21,0,On-time
PMT000294,LN00017,2024-09-21,10642.21,10642.21,0,On-time
PMT000295,LN00017,2024-10-21,10642.21,10642.21,18,Late
PMT000296,LN00017,2024-11-20,10642.21,10642.21,0,On-time
PMT000297,LN00017,2024-12-20,10642.21,10642.21,0,On-time
PMT000298,LN00017,2025-01-19,10642.21,10642.21,0,On-time
PMT000299,LN00017,2025-02-18,10642.21,10642.21,0,On-time
PMT000300,LN00017,2025-03-20,10642.21,10642.21,0,On-time
PMT000301,LN00017,2025-04-19,10642.21,10642.21,0,On-time
PMT000302,LN00018,2021-08-22,44400.34,44400.34,0,On-time
PMT000303,LN00018,2021-09-21,44400.34,44400.34,0,On-time
PMT000304,LN00018,2021-10-21,44400.34,44400.34,0,On-time
PMT000305,LN00018,2021-11-20,44400.34,0.0,44,Missed
PMT000306,LN00018,2021-12-20,44400.34,44400.34,0,On-time
PMT000307,LN00018,2022-01-19,44400.34,44400.34,0,On-time
PMT000308,LN00018,2022-02-18,44400.34,44400.34,22,Late
PMT000309,LN00018,2022-03-20,44400.34,44400.34,0,On-time
PMT000310,LN00018,2022-04-19,44400.34,44400.34,0,On-time
PMT000311,LN00018,2022-05-19,44400.34,,0,On-time
PMT000312,LN00018,2022-06-18,44400.34,44400.34,0,On-time
PMT000313,LN00018,2022-07-18,44400.34,,11,Late
PMT000314,LN00019,2021-12-12,70146.75,70146.75,0,On-time
PMT000315,LN00019,2022-01-11,70146.75,70146.75,0,On-time
PMT000316,LN00019,2022-02-10,70146.75,70146.75,0,On-time
PMT000317,LN00019,2022-03-12,70146.75,70146.75,0,On-time
PMT000318,LN00019,2022-04-11,70146.75,70146.75,11,Late
PMT000319,LN00019,2022-05-11,70146.75,70146.75,0,On-time
PMT000320,LN00019,2022-06-10,70146.75,70146.75,21,Late
PMT000321,LN00019,2022-07-10,70146.75,70146.75,0,On-time
PMT000322,LN00019,2022-08-09,70146.75,70146.75,0,On-time
PMT000323,LN00019,2022-09-08,70146.75,70146.75,0,On-time
PMT000324,LN00019,2022-10-08,70146.75,70146.75,0,On-time
PMT000325,LN00019,2022-11-07,70146.75,70146.75,19,Late
PMT000326,LN00020,2022-02-06,52649.17,0.0,39,Missed
PMT000327,LN00020,2022-03-08,52649.17,52649.17,13,Late
PMT000328,LN00020,2022-04-07,52649.17,52649.17,0,On-time
PMT000329,LN00020,2022-05-07,52649.17,52649.17,0,On-time
PMT000330,LN00020,2022-06-06,52649.17,52649.17,0,On-time
PMT000331,LN00020,2022-07-06,52649.17,52649.17,0,On-time
PMT000332,LN00020,2022-08-05,52649.17,52649.17,0,On-time
PMT000333,LN00020,2022-09-04,52649.17,52649.17,0,On-time
PMT000334,LN00020,2022-10-04,52649.17,52649.17,0,On-time
PMT000335,LN00020,2022-11-03,52649.17,52649.17,22,Late
PMT000336,LN00020,2022-12-03,52649.17,52649.17,24,Late
PMT000337,LN00021,2023-05-26,43648.13,43648.13,0,On-time
PMT000338,LN00021,2023-06-25,43648.13,43648.13,16,Late
PMT000339,LN00021,2023-07-25,43648.13,43648.13,0,On-time
PMT000340,LN00021,2023-08-24,43648.13,43648.13,0,On-time
PMT000341,LN00021,2023-09-23,43648.13,43648.13,18,Late
PMT000342,LN00021,2023-10-23,43648.13,43648.13,17,Late
PMT000343,LN00021,2023-11-22,43648.13,43648.13,0,On-time
PMT000344,LN00021,2023-12-22,43648.13,43648.13,0,On-time
PMT000345,LN00021,2024-01-21,43648.13,43648.13,0,On-time
PMT000346,LN00021,2024-02-20,43648.13,43648.13,0,On-time
PMT000347,LN00021,2024-03-21,43648.13,43648.13,0,On-time
PMT000348,LN00021,2024-04-20,43648.13,0.0,40,Missed
PMT000349,LN00021,2024-05-20,43648.13,43648.13,0,On-time
PMT000350,LN00021,2024-06-19,43648.13,43648.13,0,On-time
PMT000351,LN00021,2024-07-19,43648.13,43648.13,25,Late
PMT000352,LN00021,2024-08-18,43648.13,43648.13,0,On-time
PMT000353,LN00021,2024-09-17,43648.13,43648.13,0,On-time
PMT000354,LN00022,2025-04-20,62625.98,62625.98,16,Late
PMT000355,LN00022,2025-05-20,62625.98,62625.98,0,On-time
PMT000356,LN00022,2025-06-19,62625.98,62625.98,0,On-time
PMT000357,LN00022,2025-07-19,62625.98,0.0,41,Missed
PMT000358,LN00022,2025-08-18,62625.98,62625.98,10,Late
PMT000359,LN00022,2025-09-17,62625.98,62625.98,18,Late
PMT000360,LN00022,2025-10-17,62625.98,62625.98,0,On-time
PMT000361,LN00022,2025-11-16,62625.98,0.0,38,Missed
PMT000362,LN00022,2025-12-16,62625.98,62625.98,0,On-time
PMT000363,LN00022,2026-01-15,62625.98,62625.98,0,On-time
PMT000364,LN00022,2026-02-14,62625.98,62625.98,0,On-time
PMT000365,LN00022,2026-03-16,62625.98,62625.98,0,On-time
PMT000366,LN00022,2026-04-15,62625.98,62625.98,3,Late
PMT000367,LN00022,2026-05-15,62625.98,62625.98,0,On-time
PMT000368,LN00022,2026-06-14,62625.98,62625.98,0,On-time
PMT000369,LN00022,2026-07-14,62625.98,62625.98,0,On-time
PMT000370,LN00023,2021-09-23,19580.24,19580.24,0,On-time
PMT000371,LN00023,2021-10-23,19580.24,19580.24,0,On-time
PMT000372,LN00023,2021-11-22,19580.24,19580.24,0,On-time
PMT000373,LN00023,2021-12-22,19580.24,19580.24,0,On-time
PMT000374,LN00023,2022-01-21,19580.24,19580.24,0,On-time
PMT000375,LN00023,2022-02-20,19580.24,19580.24,0,On-time
PMT000376,LN00023,2022-03-22,19580.24,19580.24,0,On-time
PMT000377,LN00023,2022-04-21,19580.24,19580.24,21,Late
PMT000378,LN00023,2022-05-21,19580.24,19580.24,0,On-time
PMT000379,LN00023,2022-06-20,19580.24,19580.24,0,On-time
PMT000380,LN00023,2022-07-20,19580.24,19580.24,0,On-time
PMT000381,LN00023,2022-08-19,19580.24,19580.24,0,On-time
PMT000382,LN00023,2022-09-18,19580.24,19580.24,0,On-time
PMT000383,LN00023,2022-10-18,19580.24,19580.24,0,On-time
PMT000384,LN00023,2022-11-17,19580.24,19580.24,0,On-time
PMT000385,LN00023,2022-12-17,19580.24,19580.24,13,Late
PMT000386,LN00023,2023-01-16,19580.24,19580.24,25,Late
PMT000387,LN00023,2023-02-15,19580.24,19580.24,0,On-time
PMT000388,LN00023,2023-03-17,19580.24,19580.24,0,On-time
PMT000389,LN00023,2023-04-16,19580.24,19580.24,0,On-time
PMT000390,LN00023,2023-05-16,19580.24,19580.24,0,On-time
PMT000391,LN00023,2023-06-15,19580.24,0.0,57,Missed
PMT000392,LN00023,2023-07-15,19580.24,0.0,50,Missed
PMT000393,LN00023,2023-08-14,19580.24,19580.24,0,On-time
PMT000394,LN00023,2023-09-13,19580.24,19580.24,0,On-time
PMT000395,LN00024,2021-03-31,16178.83,16178.83,0,On-time
PMT000396,LN00024,2021-04-30,16178.83,16178.83,0,On-time
PMT000397,LN00024,2021-05-30,16178.83,16178.83,0,On-time
PMT000398,LN00024,2021-06-29,16178.83,16178.83,0,On-time
PMT000399,LN00024,2021-07-29,16178.83,16178.83,0,On-time
PMT000400,LN00024,2021-08-28,16178.83,16178.83,15,Late
PMT000401,LN00024,2021-09-27,16178.83,16178.83,0,On-time
PMT000402,LN00024,2021-10-27,16178.83,16178.83,0,On-time
PMT000403,LN00025,2024-11-13,5608.93,0.0,28,Missed
PMT000404,LN00025,2024-12-13,5608.93,5608.93,0,On-time
PMT000405,LN00025,2025-01-12,5608.93,5608.93,0,On-time
PMT000406,LN00025,2025-02-11,5608.93,5608.93,0,On-time
PMT000407,LN00025,2025-03-13,5608.93,5608.93,0,On-time
PMT000408,LN00025,2025-04-12,5608.93,5608.93,0,On-time
PMT000409,LN00025,2025-05-12,5608.93,5608.93,0,On-time
PMT000410,LN00025,2025-06-11,5608.93,5608.93,0,On-time
PMT000411,LN00025,2025-07-11,5608.93,5608.93,0,On-time
PMT000412,LN00025,2025-08-10,5608.93,5608.93,0,On-time
PMT000413,LN00025,2025-09-09,5608.93,5608.93,0,On-time
